datetime,year,month,day,hour,min,sec,recno,kindat,kinst,ut1_unix,ut2_unix,pierce_alt,gps_site,sat_id,gnss_type,gdlatr,gdlonr,los_tec,dlos_tec,tec,azm,elm,gdlat,glon,rec_bias,drec_bias,band_filtered
2011-03-11 06:00:00,2011,3,11,6,0,0,720,3505,8000,1299823200.0,1299823201.0,350.0,g101,28,GPS     ,43.20952606201172,140.8583221435547,43.723114,0.555782,19.548632,50.737289,19.684494,47.418121,148.956833,-215075.09375,1.303431,-1.3207148683743524
2011-03-11 06:00:00,2011,3,11,6,0,0,720,3505,8000,1299823200.0,1299823201.0,350.0,g102,5,GPS     ,42.07878875732422,139.48919677734375,59.074482,0.281418,26.392626,133.938858,19.654779,36.900467,145.926727,-215219.34375,1.301696,-0.9175895779094557
2011-03-11 06:00:00,2011,3,11,6,0,0,720,3505,8000,1299823200.0,1299823201.0,350.0,g102,9,GPS     ,42.07878875732422,139.48919677734375,28.795259,0.375662,24.418158,-149.112305,56.089054,40.349693,138.15094,-215212.5,1.301835,-0.7566152284467847
2011-03-11 06:00:00,2011,3,11,6,0,0,720,3505,8000,1299823200.0,1299823201.0,350.0,g102,15,GPS     ,42.07878875732422,139.48919677734375,24.79146,0.149043,23.860817,6.140256,73.399078,42.951225,139.618454,-215217.375,1.30173,-0.7280488334221874
2011-03-11 06:00:00,2011,3,11,6,0,0,720,3505,8000,1299823200.0,1299823201.0,350.0,g102,18,GPS     ,42.07878875732422,139.48919677734375,31.895514,0.437253,20.731808,-52.222557,36.875774,44.322243,135.305237,-215223.015625,1.302523,-0.7011403932716057
2011-03-11 06:00:00,2011,3,11,6,0,0,720,3505,8000,1299823200.0,1299823201.0,350.0,g102,21,GPS     ,42.07878875732422,139.48919677734375,39.276157,0.302138,26.299807,-103.530556,38.574265,41.129875,134.844604,-215229.0625,1.305757,-0.6766387850165028
2011-03-11 06:00:00,2011,3,11,6,0,0,720,3505,8000,1299823200.0,1299823201.0,350.0,g102,26,GPS     ,42.07878875732422,139.48919677734375,35.973274,0.154119,24.596573,64.378136,39.814045,43.487522,143.779449,-215214.71875,1.301704,-0.7649581455049893
2011-03-11 06:00:00,2011,3,11,6,0,0,720,3505,8000,1299823200.0,1299823201.0,350.0,g102,27,GPS     ,42.07878875732422,139.48919677734375,24.906271,0.207371,24.40155,-166.405167,77.828529,41.442822,139.28804,-215211.59375,1.301682,-1.0222353747267507
2011-03-11 06:00:00,2011,3,11,6,0,0,720,3505,8000,1299823200.0,1299823201.0,350.0,g102,28,GPS     ,42.07878875732422,139.48919677734375,46.517208,0.290006,19.964947,49.675819,18.056854,46.693863,147.913788,-215224.640625,1.303369,-1.3409921846686723
2011-03-11 06:00:00,2011,3,11,6,0,0,720,3505,8000,1299823200.0,1299823201.0,350.0,g103,9,GPS     ,40.897499084472656,140.85922241210938,29.88842,0.748272,25.483496,-145.11496,56.630814,39.27755,139.422623,-215212.078125,1.301885,-1.5187648167632664
2011-03-11 06:00:00,2011,3,11,6,0,0,720,3505,8000,1299823200.0,1299823201.0,350.0,g103,15,GPS     ,40.897499084472656,140.85922241210938,24.891418,0.124318,23.790854,2.304995,71.968285,41.856789,140.911407,-215216.5,1.301743,-1.4231177553829604
2011-03-11 06:00:00,2011,3,11,6,0,0,720,3505,8000,1299823200.0,1299823201.0,350.0,g103,18,GPS     ,40.897499084472656,140.85922241210938,32.823975,0.2239,20.645191,-51.010952,35.080063,43.351776,136.554947,-215223.03125,1.30257,-1.0930192538895194
2011-03-11 06:00:00,2011,3,11,6,0,0,720,3505,8000,1299823200.0,1299823201.0,350.0,g103,21,GPS     ,40.897499084472656,140.85922241210938,40.168659,0.246581,26.485664,-101.04409,37.683826,40.077084,136.105576,-215228.0625,1.305933,-0.7015955384643183
2011-03-11 06:00:00,2011,3,11,6,0,0,720,3505,8000,1299823200.0,1299823201.0,350.0,g103,26,GPS     ,40.897499084472656,140.85922241210938,35.481903,0.228244,24.45348,63.430252,40.295021,42.336334,144.958221,-215213.96875,1.301713,-0.42270509471483003
2011-03-11 06:00:00,2011,3,11,6,0,0,720,3505,8000,1299823200.0,1299823201.0,350.0,g103,27,GPS     ,40.897499084472656,140.85922241210938,25.602051,0.497246,25.167807,-156.87912,78.869247,40.347252,140.557861,-215211.359375,1.301743,-0.3172095507999839
2011-03-11 06:00:00,2011,3,11,6,0,0,720,3505,8000,1299823200.0,1299823201.0,350.0,g103,28,GPS     ,40.897499084472656,140.85922241210938,50.362698,0.24844,21.62694,49.638294,18.078014,45.515717,149.072861,-215224.03125,1.303442,-0.33814523213153397
2011-03-11 06:00:00,2011,3,11,6,0,0,720,3505,8000,1299823200.0,1299823201.0,350.0,g104,5,GPS     ,39.94211959838867,139.70347595214844,55.319366,0.221388,25.802389,133.129547,21.390535,35.212971,145.640488,-215345.109375,1.301816,-0.4291132007184517
2011-03-11 06:00:00,2011,3,11,6,0,0,720,3505,8000,1299823200.0,1299823201.0,350.0,g104,9,GPS     ,39.94211959838867,139.70347595214844,30.119604,0.845777,26.085529,-146.269257,58.247955,38.395237,138.405334,-215339.90625,1.302027,-0.5887360504301725
2011-03-11 06:00:00,2011,3,11,6,0,0,720,3505,8000,1299823200.0,1299823201.0,350.0,g104,15,GPS     ,39.94211959838867,139.70347595214844,25.301662,0.136205,24.017267,4.787383,70.663315,40.970947,139.818253,-215344.203125,1.301803,-0.8381098762759736
2011-03-11 06:00:00,2011,3,11,6,0,0,720,3505,8000,1299823200.0,1299823201.0,350.0,g104,18,GPS     ,39.94211959838867,139.70347595214844,33.472591,0.185557,21.088802,-50.398533,35.170532,42.431206,135.50499,-215351.71875,1.302607,-1.1569009742587135
2011-03-11 06:00:00,2011,3,11,6,0,0,720,3505,8000,1299823200.0,1299823201.0,350.0,g104,21,GPS     ,39.94211959838867,139.70347595214844,39.135159,0.279637,26.359924,-100.899429,38.919167,39.168907,135.194199,-215354.671875,1.305887,-1.4588237142002802
2011-03-11 06:00:00,2011,3,11,6,0,0,720,3505,8000,1299823200.0,1299823201.0,350.0,g104,26,GPS     ,39.94211959838867,139.70347595214844,35.309116,0.127031,23.752983,62.146553,38.845181,41.527523,143.911133,-215340.875,1.301835,-1.6035205536475898
2011-03-11 06:00:00,2011,3,11,6,0,0,720,3505,8000,1299823200.0,1299823201.0,350.0,g104,27,GPS     ,39.94211959838867,139.70347595214844,25.632549,0.750176,25.311897,-161.098343,80.446068,39.456551,139.493393,-215338.9375,1.301926,-1.4426161020012622
2011-03-11 06:00:00,2011,3,11,6,0,0,720,3505,8000,1299823200.0,1299823201.0,350.0,g104,28,GPS     ,39.94211959838867,139.70347595214844,48.924377,0.219155,20.28421,48.805988,16.685123,44.93425,148.230072,-215349.03125,1.303509,-0.9227176663815343
2011-03-11 06:00:00,2011,3,11,6,0,0,720,3505,8000,1299823200.0,1299823201.0,350.0,g105,5,GPS     ,38.56334686279297,139.5459747314453,59.536381,0.246894,28.406374,132.272552,22.318197,34.08297,145.269104,-215351.921875,1.301612,-0.19450292615080908
2011-03-11 06:00:00,2011,3,11,6,0,0,720,3505,8000,1299823200.0,1299823201.0,350.0,g105,9,GPS     ,38.56334686279297,139.5459747314453,30.929623,0.988678,27.162222,-144.834671,59.769604,37.129955,138.298889,-215343.125,1.302101,0.3956572534351572
2011-03-11 06:00:00,2011,3,11,6,0,0,720,3505,8000,1299823200.0,1299823201.0,350.0,g105,15,GPS     ,38.56334686279297,139.5459747314453,27.364819,0.172336,25.711275,4.716323,68.877495,39.698631,139.668274,-215349.65625,1.301749,0.4730010672102619
2011-03-11 06:00:00,2011,3,11,6,0,0,720,3505,8000,1299823200.0,1299823201.0,350.0,g105,18,GPS     ,38.56334686279297,139.5459747314453,35.302376,0.387181,21.857323,-49.327347,34.248314,41.185905,135.37973,-215355.53125,1.302591,-0.13197956691210333
2011-03-11 06:00:00,2011,3,11,6,0,0,720,3505,8000,1299823200.0,1299823201.0,350.0,g105,21,GPS     ,38.56334686279297,139.5459747314453,42.043629,0.298748,28.524616,-99.413834,39.347965,37.897655,135.172684,-215359.265625,1.305824,-1.1933446051632723
2011-03-11 06:00:00,2011,3,11,6,0,0,720,3505,8000,1299823200.0,1299823201.0,350.0,g105,26,GPS     ,38.56334686279297,139.5459747314453,37.584862,0.172295,24.892813,60.706718,37.939205,40.282246,143.742615,-215346.515625,1.301534,-2.03569954467287
2011-03-11 06:00:00,2011,3,11,6,0,0,720,3505,8000,1299823200.0,1299823201.0,350.0,g105,27,GPS     ,38.56334686279297,139.5459747314453,26.803598,0.827956,26.579296,-158.046219,82.189484,38.173321,139.351852,-215341.78125,1.301841,-1.759825565099638
2011-03-11 06:00:00,2011,3,11,6,0,0,720,3505,8000,1299823200.0,1299823201.0,350.0,g105,28,GPS     ,38.56334686279297,139.5459747314453,53.76487,0.315217,21.695103,48.174896,15.607356,43.883282,148.257217,-215353.71875,1.303339,0.18592091421765852
2011-03-11 06:00:00,2011,3,11,6,0,0,720,3505,8000,1299823200.0,1299823201.0,350.0,g107,5,GPS     ,35.12939453125,140.2494659423828,59.030212,0.717905,30.24346,131.078094,25.313391,31.232744,145.29892,-206466.40625,1.301979,3.383891629995789
2011-03-11 06:00:00,2011,3,11,6,0,0,720,3505,8000,1299823200.0,1299823201.0,350.0,g107,9,GPS     ,35.12939453125,140.2494659423828,29.809484,1.595877,26.83791,-138.055176,62.732365,33.976185,139.022034,-206457.796875,1.302018,6.370514938534576
2011-03-11 06:00:00,2011,3,11,6,0,0,720,3505,8000,1299823200.0,1299823201.0,350.0,g107,12,GPS     ,35.12939453125,140.2494659423828,141.747818,1.384397,49.565552,170.233841,9.536459,23.865868,142.341782,-206465.6875,1.302664,7.41360169145985
2011-03-11 06:00:00,2011,3,11,6,0,0,720,3505,8000,1299823200.0,1299823201.0,350.0,g107,15,GPS     ,35.12939453125,140.2494659423828,28.511604,0.130955,26.023808,2.699494,64.530357,36.530621,140.331879,-206463.390625,1.301945,5.670803497482236
2011-03-11 06:00:00,2011,3,11,6,0,0,720,3505,8000,1299823200.0,1299823201.0,350.0,g107,18,GPS     ,35.12939453125,140.2494659423828,37.210255,0.498338,21.654188,-46.792824,31.126043,38.21014,135.981506,-206468.046875,1.302102,1.8094411254167597
2011-03-11 06:00:00,2011,3,11,6,0,0,720,3505,8000,1299823200.0,1299823201.0,350.0,g107,21,GPS     ,35.12939453125,140.2494659423828,42.962292,0.279901,29.068663,-94.850616,39.186104,34.745293,135.97287,-206473.734375,1.30595,-2.3611158063286064
2011-03-11 06:00:00,2011,3,11,6,0,0,720,3505,8000,1299823200.0,1299823201.0,350.0,g107,26,GPS     ,35.12939453125,140.2494659423828,34.02737,0.466439,21.942921,57.494678,36.435482,37.131275,144.324738,-206461.1875,1.301719,-4.85209554436756
2011-03-11 06:00:00,2011,3,11,6,0,0,720,3505,8000,1299823200.0,1299823201.0,350.0,g107,27,GPS     ,35.12939453125,140.2494659423828,27.774082,1.478786,27.693548,-126.497139,85.405602,34.976597,140.01445,-206457.515625,1.301884,-4.410815966471526
2011-03-11 06:00:00,2011,3,11,6,0,0,720,3505,8000,1299823200.0,1299823201.0,350.0,g107,28,GPS     ,35.12939453125,140.2494659423828,52.583759,0.285625,20.182217,47.05991,13.587475,41.102585,149.194901,-206467.6875,1.302555,-1.0907530914781525
2011-03-11 06:00:00,2011,3,11,6,0,0,720,3505,8000,1299823200.0,1299823201.0,350.0,g108,5,GPS     ,35.160160064697266,139.61553955078125,59.521603,0.86252,30.169294,130.471405,24.851982,31.242249,144.796188,-215587.484375,1.301987,3.629379156689103
2011-03-11 06:00:00,2011,3,11,6,0,0,720,3505,8000,1299823200.0,1299823201.0,350.0,g108,9,GPS     ,35.160160064697266,139.61553955078125,29.448528,1.266436,26.597851,-139.503021,63.139812,33.998249,138.439407,-215578.84375,1.301936,7.39742924919349
2011-03-11 06:00:00,2011,3,11,6,0,0,720,3505,8000,1299823200.0,1299823201.0,350.0,g108,12,GPS     ,35.160160064697266,139.61553955078125,154.420303,1.98605,53.85424,169.653564,9.410392,23.856392,141.842072,-215587.046875,1.302802,8.242510582905345
2011-03-11 06:00:00,2011,3,11,6,0,0,720,3505,8000,1299823200.0,1299823201.0,350.0,g108,15,GPS     ,35.160160064697266,139.61553955078125,29.234034,0.221236,26.683493,3.801847,64.531883,36.559731,139.731613,-215584.96875,1.301902,5.860072606622088
2011-03-11 06:00:00,2011,3,11,6,0,0,720,3505,8000,1299823200.0,1299823201.0,350.0,g108,21,GPS     ,35.160160064697266,139.61553955078125,40.540535,0.425655,27.711176,-95.305847,39.796108,34.757774,135.428299,-215593.40625,1.306026,1.8452325517561858
2011-03-11 06:00:00,2011,3,11,6,0,0,720,3505,8000,1299823200.0,1299823201.0,350.0,g108,26,GPS     ,35.160160064697266,139.61553955078125,29.913193,0.696927,19.117184,57.464275,35.941795,37.197659,143.764313,-215582.59375,1.301775,-1.4886031535289401
2011-03-11 06:00:00,2011,3,11,6,0,0,720,3505,8000,1299823200.0,1299823201.0,350.0,g108,27,GPS     ,35.160160064697266,139.61553955078125,27.22002,1.275061,27.157288,-133.011047,85.904182,35.004856,139.425674,-215578.78125,1.301811,-2.755336338872913
2011-03-11 06:00:00,2011,3,11,6,0,0,720,3505,8000,1299823200.0,1299823201.0,350.0,g109,5,GPS     ,37.81476593017578,138.28126525878906,61.581062,0.187187,29.183374,130.640198,22.039719,33.40728,144.183014,-215711.515625,1.301656,-2.221597804994311
2011-03-11 06:00:00,2011,3,11,6,0,0,720,3505,8000,1299823200.0,1299823201.0,350.0,g109,9,GPS     ,37.81476593017578,138.28126525878906,30.237358,1.054408,26.899435,-146.577057,61.2649,36.439594,137.169983,-215702.21875,1.302244,-1.1761994800489546
2011-03-11 06:00:00,2011,3,11,6,0,0,720,3505,8000,1299823200.0,1299823201.0,350.0,g109,15,GPS     ,37.81476593017578,138.28126525878906,27.670652,0.149088,25.824629,7.009768,67.787971,39.006618,138.470642,-215708.484375,1.301815,-0.7363974732742767
2011-03-11 06:00:00,2011,3,11,6,0,0,720,3505,8000,1299823200.0,1299823201.0,350.0,g109,18,GPS     ,37.81476593017578,138.28126525878906,35.049465,0.26565,21.827175,-48.858326,34.553394,40.442917,134.227432,-215714.3125,1.302592,-1.1449204006962301
2011-03-11 06:00:00,2011,3,11,6,0,0,720,3505,8000,1299823200.0,1299823201.0,350.0,g109,21,GPS     ,37.81476593017578,138.28126525878906,41.391464,0.250042,28.696404,-99.493065,40.660358,37.177425,134.133743,-215717.953125,1.305681,-1.9054111079713658
2011-03-11 06:00:00,2011,3,11,6,0,0,720,3505,8000,1299823200.0,1299823201.0,350.0,g109,26,GPS     ,37.81476593017578,138.28126525878906,37.24107,0.155089,24.036871,59.754921,36.485096,39.673534,142.602127,-215706.015625,1.301636,-2.362412515005118
2011-03-11 06:00:00,2011,3,11,6,0,0,720,3505,8000,1299823200.0,1299823201.0,350.0,g109,27,GPS     ,37.81476593017578,138.28126525878906,26.813665,0.932713,26.659227,-166.385208,83.522293,37.474342,138.180771,-215700.765625,1.301938,-2.1914046632880084
2011-03-11 06:00:00,2011,3,11,6,0,0,720,3505,8000,1299823200.0,1299823201.0,350.0,g109,28,GPS     ,37.81476593017578,138.28126525878906,55.633251,0.262981,21.721066,47.45787,14.2838,43.527241,147.346909,-215713.359375,1.30334,-1.5482723132590572
2011-03-11 06:00:00,2011,3,11,6,0,0,720,3505,8000,1299823200.0,1299823201.0,350.0,g110,5,GPS     ,37.35655212402344,138.50852966308594,61.542324,0.191861,29.506824,130.617035,22.518824,33.037582,144.277847,-215462.09375,1.301692,-0.8964629067084335
2011-03-11 06:00:00,2011,3,11,6,0,0,720,3505,8000,1299823200.0,1299823201.0,350.0,g110,9,GPS     ,37.35655212402344,138.50852966308594,30.290504,1.103142,27.026222,-145.431885,61.618557,36.019787,137.387146,-215453.65625,1.302284,-0.6652564054149088
